Target,AugmentedSentence
1,studid cock sucker stop callin o.k. frank garrett eatin worms crawl outa moms pussy fucking retardo hit retardo
1,fuck son bitch de make U.S. creasy fuck de
1,O.K. send crap idc stupid gnome
1,bully O.K. win wikipedia sucks people like
1,screw mother_fucker personal attack implying anything
1,know I.D. like leave fuck alone
1,oh excuse bothered read spanish well screw racism O.K. unless decide suppose wisconsin
1,epic fail freaking serious cannot blocked failed good-bye
1,o.k. warning watch asshole
1,silly guy use e-mail like wikijews
1,agree ir seen high_school used sarcastically biggest gay guys senior year came together one upset one suprised thought would shock school
1,U.S. sheer mongolic asiatic barbarity mena
1,arrogant little Mr. pompous
1,know england says utc fact blow U.K. ireland
1,queen mary Mrs. windsor granny bitch
1,response eat fat sized cock mother_fucker
1,fuck mother_fucker said bitch
1,anna frodesiak mother_fucker bitch
1,q moron highest order oxymoron please tell U.S. gurd ass
1,good-bye going kill
1,contador u k r e f love D.C.
1,hi blind cast order gave web_site cast list need sources quit hating
1,none us perfect o.k. get
1,send messages o.k. pricks
1,graham broad total loser yes web_site woooo gay
1,thanks mother_fucker nominated deletion well let guess
1,O.K. terrorists prior became terrorists U.S. chose designate planet live nod
1,o.k. youre fag
1,powerful johncd powerful johncd mother_fucker nothing better life deleting articles wants must inferiority complex asshole motherfucker
1,fuck son bitch de make U.S. creasy de
1,want edit english wikipedia deserve administrator Mr.
1,fuck hope die mother_fucker
1,fucking cunt half hope mother vagina raped chain_saw shit eating pedophile
1,O.K. im going vandalize wild ones wiki
1,antares one big mother_fucker
1,o.k. mr ss gestapo block throw ovens gas know love sieg heil motto stick hitler loving bastard
1,j delanoy mother_fucker nuff said
1,shared ip mind U.S. lots shitheads
1,hahahahahahahahahahahaha take banning U.S. amell hate wikipedia anyways go ahead bann dont care hahahahahahahahahahahahaha
1,thanks bidding troublemaking vindictive vandal O.K. make personal attacks respond kind blocked wikipedia sucks
1,hate zad unblock stupid mother_fucker
1,life job web_site trash
1,piss obama loving douche nozzle U.S. citizen born kenya
1,fock turk disguised italian name want fool U.S.
1,leave shit alone O.K. cnat stop messign skyview page dont dare tocuh user page profile understand
1,account real goldentony account moronic troll sic accounts web username false ids childish attempt intimidate slurs fake photo check conjoin date currently investigation worried creating accounts ask could trouble real goldentony accounts stay deviantart profile set account real goldentony story moronic troll set accounts web username false ids childish try intimidate slurs fake photo check join date currently investigation worried creating accounts ask could trouble real goldentony accounts uploads music comedy anti bnp edl none espousing particular movement political group ideology notwithstanding due fact espouse equality fairness opposed unwarranted victimisation oppression minorities hatred ignorance seems certain user like think soapbox spew racist misogynistic homophobic xenophobic detest filled gibberish bnpers course guilty aforementioned apparently decision allow comments basically spam lazy insults illiterate ramblings screeching morons listen use canal forum means anti free speech think ancestors fight_back fascism right freedom speech detest filled knuckle draggers abuse shrieking hate fill drivel bereft fact decency indeed point actively encourage freedom speech rather often permit idiots speak makes look far ridiculous ever could hope difference argumentation spamming insulting listening preaching though happy debate debate lie two sides discussing views one shouting refusing listen anyone else channel right allow trolls knockoff neo nazis racists haters round ne er fountainhead right puke bile suppression freedom speech anyone cares look back channel see actively encourage debate also see many choose eschew debate favour attempting belittle throw abuse calling uaf marxist far left rapist paedophile absolutely basis libelous reality personal insults accusing foreigner bringing family love mum insult accusing several users believe one person disagree misquoting paraphrase cherry picking research questionable sources ever research accept origin back beliefs lying accusing acts done claiming argument dismiss points raised harped cloning account also using username far right forums cloned numerous times waffling deprive freedom speech make insults allow proper reply blocking channels essentially goons make tiny minority incredibly chesty ignorant spiteful indecent amoral borderline illiterate_person joy sappers bnp edl neo nazis islamophobes extremists kkk name wrong world trying stop U.S. evolving motivation hatred ignorance proven labelling everyone disagree communists uaf marxists liberals unbelievably fascists basis course otiose epithets group majority one family resistance pretend multitude individuals left right different coloured skin beliefs sexuality classes play_down etc majority basically youtube grants guttersnipes anonymity parade ignorance disgusting ideals appear larger group fooling though always nonage failures blame failure spirit everyone ironically ancestors fight every exemption treasure spat back face every ill informed erroneous indecent anti educational harangue idiots place encourage debate bickering infantile playground bait interminable clown ambo refusing list
1,say featured articles different requirements articles jeepday whole point get citations articles meet wp demand noticed tags quite often help get aid users particularly new ish substance_abuser cheers seanmack agree jeepday seanmack ultimate goal every article fa quality satori son goal consensus among editors importantly inline citations every fact fa requirement see wp fa section cmummert talk gave link referring fuck say provide citation fucktard well lying fuck fucktard provide reference deleted post fuckin moron fuckhole deathtard second time citation fuckhole time showing fuckhole eyes teacher knows something catholic bashing posted alex murphy religion pst replies views bakersfield californian feb leonel martinez catechism teacher sister mary lou petrillo smart scrappy nun drilled U.S. basics catholicism without demeaning christian churches religions bad sister mary lou available teach intensive lessons tolerance campaign people presidential candidate john edwards within last weeks two bloggers former north carolina senator resigned hit criticism conservative catholic organizations enraged past anti catholic remarks bloggers posted web according cnn melissa mcewan amanda marcotte quit groups ilk catholic expletive deleted catholic bashing reinhard post jazusamo news activism pst replies views oregonian february david reinhard receive ladies gentleman time play favourite game conservatives republicans todaywe exceptional twofer edition game asks would happen Republican_River tried something like pay attention double standard mavens multipronged interview today republican presidential candidate hired blogmaster whose writings featured vile attacks religions expletive laced rants disagreed republican besides hired some_other blogger whose writings featured similar catholic league mighty champion queer bashing anti semitism propaganda alert posted joseph demaistre religion pm pst replies aspect talk action sun jun bruce wilson hate speech typically first line attack employed bullies bullies become emboldened eliminationalist rhetoric tolerated societal acceptation lead far worse things previously covered hate speech see enough hate spech stun ox hatecrime org extensive collection hate speech targeting homosexuals suprisingly least one individual whose statements featured archive also collections antisemitic rhetoric also leader prominent christian right group claims fight anti catholic predetermine discrimination catholic bashing plays hot posted nyer tidings activism pm pdt replies views catholic league august bill donohue bill donohue president catholic league offered following comments today popularity catholic bashing plays helen hayes theatre new york must experiencing strong times days otherwise home kiki herb alive broadway according motley play claims catholic church run nazis devil really wear prada devil pope show timely play manufacturer manage squeeze smack mel gibson dropping line wants jews treat unholy battle rome catholic papal bashing left posted kellynlane
