target,comment_text
1,cocksucker before pissing on my work
1,hey what is this talk what is this an exclusive group of certain wp talibans who are good at destroying self proclaimed purists who angry anyone who asks them about their antisocial and destructive non contribution to the wp ask sityush to clean up his act rather than giving me absurd warnings
1,bye don look don come and don think about coming back launcher
1,are you gay or anti semitic archangel white tiger meow hi shhh um there are two reasons why you deleted my comment about wwii that the holocaust was the brutal massacre of jews and not homosexuals gypsies slavs anyone if you are anti semitic shave your head bald and go to skinhead meetings if you doubt the words of the bible that homosexuality is mortal sin get pentagram tattooed on your forehead and go to the satanic masses with your gay friends first and final warning fucking gay will not appreciate another nazi shwain writing on my page don want to talk to you anymore beware of the dark side
1,fuck your dirty mother in the ass dry
1,i sorry m sorry for messing up with someone talk page it was very wrong to do know how much having the models on their talk page helps you assert your dominance over them know should bow to the all powerful administrators but then again m going to go play outside with your mother
1,get fucked get fucked you have drink you can put down do shit do shit m fucked right now
1,peace stupid stop deleting my stuff asshole go die and fall into hole go to hell
1,tony sidaway is obviously fistfuckee he loves having an arm up his ass
1,why can you believe how big artie is did you see him during his recent appearance on the tonight show with jay leno it looks absolutely horrible if had to bet on it would say that artie lange is must have candidate for deadpool please keep your malicious fingers off my comment above every time you delete it will repost it
1,all my modifications are good assholes like you who undo good edits because you re too stupid to understand how to write well and then undo other edits just because you decided to hold grudges on the playground are the problem maybe one day you will realize the damage you have done to noble project
1,hi m back last warning stop undoing my changes or die
1,would you both shut up you don run wikipedia especially stupid kid
1,a pair of jewish hating nazi assholes
1,sorry puck but nobody ever said dick was number one but he is clearly listed as being second to batman and master detective and martial artist and has been trained in all disciplines of combat mentioned no need to mention in the skills abilities the battles he lost and won because that not what an encyclope is supposed to do besides what is your problem is that you are relying on low end performances and not high end performances where he proved more than match for meta like slade and pinned shiva in one of his first appearances
1,unblock me or will train my lawyers to block my constitutional right to free speech
1,you should be fired you re stupid wimp who too lazy to do research it makes me sick that people like you exist in this world
1,i think you re faggot take life and burn in hell hate you m sorry we can have sex anymore m out of condoms
1,you re stupid asshole and your mother pussy stinks
1,your blatant pov pushes none of you made any contribution to this article on italian history other than shoving your modern unhistorical unconstructive pov in my face this is history article history have you heard of this this is why so many people are annoyed by the pedantry idiocy and triviality of wikipedia jesus fucking life
1,give me permanent raseac block remember me muslims don worry about these pictures they are trying to harm us but they can look these pictures are fake and have nothing to do with islam or our prophet even their article is so rubbish wikipedia is not an authentic source it is an encyclopedia for children which has no authenticity anyone can edit or write what they think just like raeasc you can see that he doesn know what islam is and he talks about it so forget the wiki it rubbish they have no authenticity recommend that they add an article on the angry christ in jesus they should
1,fuck you block me you faggot
1,kill all the niggers have trouble that others have said this should this be included racists sometimes say that
1,burn deck if this guy burn deck is anything like what think it is then he in for rude awakening fucking leviathan
1,ura tw fuck you gay boy you re smelly fuck your poop mom
1,atheism is full of prejudices
1,hey why are you spreading misconceptions and trying to spread false information to people you don even know who won the battle and who lost you are the cheapest person on earth damn ignorant idiot check sources before spreading rumors
1,and you are let me know when you re out of their butts dick laurent is dead
1,this user is fucking worthless faggot fuck you faggot
1,fuck you you are not an administrator you do not have the power to tell me what to do
1,well you are ridiculous in fact suspect you are calton please block me don care
1,fuck you fuck you fuck you
1,just keep an eye on it no one cares okay people can put whatever they want in here and clean whatever they want but no one cares my god you are so stupid omnigan
1,matt hardy is so fucking italic text media example ogg matt hardy is so fucking
1,god is dead don want to surprise anyone but god is dead we shouldn worry about him anymore just thought d let everyone know well goodbye and good luck with your new crisis of faith
1,did you see the reference to their statement you idiot it not source that their point of view once have more time will reduce your pashtun nationalist views here on wiki and order my uncles and cousins to execute pashtuns throughout northern afghanistan up to allez jalalabad lashkargah logar paghman laghman kunduz herat farah wherever the immigrants descended from the violent kuchis settled and took away the non pashtun lands and traditional tajik countries
1,thanks hei it me the william hope fan guess what m back with new ip ready to vandalize everything about william hope and there nothing you can do to stop me maybe delay me but you can stop me so let salute little more to the madness of william hope by pushing his penis into my mouth
1,fuck you user bohemian shinobis yeah that right bitch you are all shit
1,dear mokele you have no right to tell people to die in fire just because this ip address is used for vandilism doesn mean you can talk to people like that you are actually bigger loser than the person you are blocking
1,thank you for your racist experiment with the katherine heigl page on wikipedia your test worked and it has been canceled or deleted please use the sandbox for any other testing you may wish to perform take look at the homepage to learn more about contributing to our encyclopedia now fuck you you racist asshole canuck you have nothing better to do than censor the truth you are fucking piece of kkkkanuck trash dickhead moron motherfucker mol you canucks real retards fuk off dickweed edit another of my eidts and you will be expelled from the wiki by jimbo you sob dickhead so watch it mofo piece of racist garbage known mofo m trying to be nice here so take what say as compliment yamla
1,be careful who you call stupid
1,gay the existence of the cdvf is further proof that it is sad asshole he is also very ugly and has willful face
1,i never did that damn mother article just edited it and that was long time ago you fucking assholes make me piss
1,fucked with the wrong muchacho m july utc
1,hello m fucking bitch
1,add mobile porn as additional wp also link
1,f all rides at worlds of fun hate all the rides at worlds of fun because they are shitty and boring all wof ride operators should be fired prosecuted and hanged burn all wof coasters arrest all wof park operators assassinate all wof clients heard boy died on timberwolf in august that stupid worlds of fun should have built this shit better worlds of fun cares about money and the prophet moar rather than customers burn this shitty park you wrinkles worlds of fun is more dangerous than grround zero and area worlds of fun should burn in hell
1,nazi filth is rude january utc
1,i don care what you say here no longer believe in sentence
